Location,Shift Type,Start,Finish,Position
Teacher,Regular,12/12/2016T14:30:00,12/12/2016T16:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T14:30:00,12/12/2016T16:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T14:30:00,12/12/2016T16:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T15:00:00,12/12/2016T17:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T15:00:00,12/12/2016T17:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T15:00:00,12/12/2016T17:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T15:00:00,12/12/2016T17:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T15:00:00,12/12/2016T17:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T15:00:00,12/12/2016T17:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T15:00:00,12/12/2016T17:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T15:00:00,12/12/2016T17:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T15:00:00,12/12/2016T17:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T15:00:00,12/12/2016T17:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T15:30:00,12/12/2016T17:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T15:30:00,12/12/2016T17:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T15:30:00,12/12/2016T17:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T15:30:00,12/12/2016T17:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T15:30:00,12/12/2016T17:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T15:30:00,12/12/2016T17:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T15:30:00,12/12/2016T17:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T15:30:00,12/12/2016T17:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T15:30:00,12/12/2016T17:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T15:30:00,12/12/2016T17:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T15:30:00,12/12/2016T17:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T15:30:00,12/12/2016T17:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T15:30:00,12/12/2016T17:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T15:30:00,12/12/2016T17:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T15:30:00,12/12/2016T17:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T15:30:00,12/12/2016T17:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T16:00:00,12/12/2016T18:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T16:00:00,12/12/2016T18:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T16:00:00,12/12/2016T18:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T16:00:00,12/12/2016T18:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T16:00:00,12/12/2016T18:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T16:00:00,12/12/2016T18:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T16:00:00,12/12/2016T18:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T16:00:00,12/12/2016T18:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T16:00:00,12/12/2016T18:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T16:00:00,12/12/2016T18:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T16:00:00,12/12/2016T18:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T16:00:00,12/12/2016T18:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T16:00:00,12/12/2016T18:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T16:00:00,12/12/2016T18:00:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T16:30:00,12/12/2016T18:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T16:30:00,12/12/2016T18:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T16:30:00,12/12/2016T18:30:00,LP2 - Classic Intermediate
Teacher,Regular,12/12/2016T16:30:00,12/12/2016T18:30:00,LP2 - Classic Intermediate
